index_seg,ugr
1003,3.0000000000000004
1004,2.8181818181818183
10452,2.9999999999999996
10454,2.0
10505,3.0000000000000004
10595,4.0
12064,3.4999999999999996
12261,4.0
12263,4.0
12264,4.0
1261,2.0
128,4.0
12849,3.0000000000000004
12898,2.0
134,3.0
1531,3.5
1532,3.4999999999999996
1533,3.0
2254,3.0000000000000004
2635,2.0
2636,2.0
2641,2.0
2674,4.0
3149,3.0000000000000004
3383,2.0
3387,2.9999999999999996
3388,3.0
3593,3.0
3946,2.0
4012,2.0
4014,2.0
4271,2.0
4480,4.0
4481,4.0
4811,3.0000000000000004
4871,4.0
4872,4.0
513,3.0000000000000004
5209,5.0
5210,5.0
5284,4.0
5285,4.0
5286,4.0
5501,1.0
5616,4.0
5617,4.0
5665,3.0
5669,4.0
5670,4.0
5671,4.0
5750,2.9999999999999996
5756,2.0
5757,4.0
578,2.0
581,5.0
582,5.0
6000,2.0
617,3.0000000000000004
6332,2.9999999999999996
652,4.0
658,2.0
662,3.0
663,3.0
664,3.0000000000000004
672,2.0
673,2.0
675,1.0
676,1.0
677,1.0
6939,4.0
6940,3.0
6941,3.0
6942,3.7272727272727266
6943,4.0
7010,4.0
726,1.0
7316,3.0
7317,4.0
737,3.0
7647,3.0
7727,4.0
7878,3.0
7879,3.0
808,2.9999999999999996
809,2.0
8260,3.0
8290,4.0
8310,3.0
8458,4.0
8953,4.0
9306,1.0
9474,3.0000000000000004
969,1.0
970,1.0
976,3.0
9768,3.0
98,3.0
9855,4.0
9858,3.5
9859,3.5
9874,3.0
9875,3.0
