index_seg,ugr
1003,3.0000000000000004
1004,2.8461538461538463
101,3.0000000000000004
10394,3.0000000000000004
10403,3.0
10448,3.5454545454545454
10449,5.0
10595,3.1428571428571432
11287,4.0
11288,4.0
11289,4.0
11484,2.5
11886,3.0000000000000004
12047,1.0
12261,4.0
12263,4.0
12264,4.0
12567,2.0
12568,2.0
127,4.0
128,3.272727272727273
12849,3.0000000000000004
12898,5.0
136,4.0
137,4.0
140,4.0
1531,3.5
1532,3.4999999999999996
1533,3.4999999999999996
180,3.0
181,3.75
182,4.0
183,3.0000000000000004
2177,3.0000000000000004
253,2.0
258,3.0000000000000004
2641,3.0
2650,2.0
2656,2.9999999999999996
2657,3.0
2658,3.0
2671,5.0
2672,5.0
2674,2.5
2675,2.5
2685,2.0
269,4.0
2733,1.5
3149,2.5555555555555554
3150,3.0000000000000004
329,2.0
330,2.5
331,2.9999999999999996
332,3.0
3387,3.3846153846153846
3388,3.4999999999999996
3946,2.0
3947,4.0
4012,1.5
4014,2.5
4271,2.0
4418,4.0
4419,4.0
4432,4.0
4480,4.0
4481,2.545454545454545
4569,3.4999999999999996
4570,1.0
4789,2.9999999999999996
4812,3.0
4872,3.0
4874,5.0
513,3.5
5203,3.0000000000000004
5207,4.0
5208,4.0
5209,5.0
5210,5.0
5284,4.0
5285,4.0
5286,4.714285714285714
5287,5.0
5288,3.2499999999999996
5340,3.0
5367,2.6956521739130435
5452,4.0
5457,4.0
5501,4.0
5616,3.0000000000000004
5617,3.0000000000000004
5669,4.0
5670,4.0
5671,4.0
5673,2.0
5748,3.0000000000000004
5749,3.333333333333333
5750,3.272727272727272
5751,3.0
5757,3.0
581,4.222222222222222
582,5.0
5821,2.0
583,4.5
6000,1.857142857142857
613,3.0000000000000004
616,2.9999999999999996
617,3.0000000000000004
6330,3.0000000000000004
6331,3.0000000000000004
6332,2.9999999999999996
6340,3.0000000000000004
648,2.5999999999999996
652,4.0
658,2.0
659,5.0
664,4.0
675,3.0000000000000004
676,3.0
677,3.0
681,1.0
6939,4.0
6941,3.0000000000000004
6942,3.0
6945,2.0
7010,4.0
726,4.0
7313,3.0000000000000004
7320,5.0
7321,5.0
7322,4.181818181818181
737,3.0
7647,2.5
7726,3.0000000000000004
7727,3.0000000000000004
776,4.0
7769,3.0
777,4.0
7773,4.0
7774,3.777777777777778
7775,3.0
778,4.0
7878,3.0
7879,3.352941176470588
7880,3.3124999999999996
7881,2.5
809,2.7777777777777772
8226,4.0
8258,4.0
8345,4.0
8346,4.0
8348,4.0
8458,2.0
893,1.0
8952,2.9999999999999996
8953,2.0
9297,1.0
9298,1.0
9299,2.3333333333333335
9300,2.0
9603,1.0
968,3.0
969,3.0
97,3.0
970,2.0
971,2.0
972,2.0
973,3.0
974,2.9999999999999996
975,2.2
9750,4.0
976,3.0
9768,3.0
977,2.9999999999999996
98,3.0
9855,4.0
9856,4.0
9857,3.0
9858,3.0
9859,2.681818181818182
9860,2.5
9861,4.5
9874,3.0
9875,3.0
9881,2.0
9882,2.0
