index_seg,ugr
1004,3.0000000000000004
12261,4.0
12265,4.0
1261,2.5
127,4.0
12898,3.0000000000000004
136,4.0
137,4.0
1531,4.0
1532,4.0
181,4.0
182,4.0
251,3.0
258,3.0000000000000004
2641,2.0
2652,2.0
2653,2.0
2676,4.0
3387,3.0000000000000004
3388,3.0000000000000004
3389,3.0000000000000004
3717,2.0
3946,4.0
3947,4.0
4012,2.0
4014,3.0
4385,4.0
4429,4.0
4430,4.0
4569,5.0
4570,5.0
4737,2.0
4789,4.0
4790,4.0
4871,3.0
4872,3.0000000000000004
4874,5.0
4998,2.0
5207,3.0
5208,3.0000000000000004
5209,4.0
5210,4.0
5285,4.0
5286,4.714285714285714
5287,2.9999999999999996
5616,3.0000000000000004
5617,3.0000000000000004
5756,2.5
5757,3.0
580,4.0
5821,2.0
6001,2.0
6214,1.0
6330,3.0000000000000004
6331,3.0000000000000004
6332,2.9999999999999996
6333,4.0
6340,3.0000000000000004
651,2.0
659,5.0
664,4.0
672,2.0
673,2.0
675,3.0000000000000004
676,3.0
677,3.0
6939,3.0000000000000004
6941,3.0000000000000004
6942,3.0
7016,5.0
726,3.3
7313,3.0000000000000004
7316,4.0
737,3.0
7573,3.0000000000000004
7594,2.0
7646,2.0
7727,4.0
776,4.0
7769,3.0
777,4.0
7878,2.6470588235294117
7879,3.0
808,2.9999999999999996
809,3.0
8260,4.0
8288,4.0
8289,4.0
8310,4.454545454545454
8311,5.0
8345,4.0
8346,4.0
8952,2.0
9299,3.0
9306,1.0
9475,3.0
9476,3.0
970,3.0
971,3.0
972,3.0
975,2.5
9751,2.0
976,3.0
9768,4.0
98,3.0
9822,1.0
9855,3.0
9856,4.0
9859,2.9999999999999996
9860,3.0
9874,4.0
9875,4.0
